product_id,product_name,category,cost_price,reorder_level,current_stock,inventory_value,stock_status
P00001,Northstar Electronics Pro 001,Electronics,2389.34,19,257,614060.38,In Stock
P00002,Aster & Co. Fashion Essential 002,Fashion,792.19,37,226,179034.94,In Stock
P00003,Mosaic Beauty Studio 003,Beauty,208.57,24,368,76753.76,Overstocked
P00004,Luma Home & Kitchen Everyday 004,Home & Kitchen,8407.41,73,40,336296.4,Low Stock
P00005,Cedar Lane Sports Max 005,Sports,1427.09,42,161,229761.49,In Stock
P00006,Orbit Grocery Select 006,Grocery,91.92,35,104,9559.68,In Stock
P00007,Solace Books Classic 007,Books,279.77,42,260,72740.2,In Stock
P00008,Pioneer Accessories Plus 008,Accessories,317.65,41,189,60035.85,In Stock
P00009,Northstar Electronics Pro 009,Electronics,5573.58,71,408,2274020.64,Overstocked
P00010,Aster & Co. Fashion Essential 010,Fashion,3163.64,67,151,477709.64,In Stock
P00011,Mosaic Beauty Studio 011,Beauty,2265.41,40,407,922021.87,Overstocked
P00012,Luma Home & Kitchen Everyday 012,Home & Kitchen,661.13,69,78,51568.14,In Stock
P00013,Cedar Lane Sports Max 013,Sports,532.41,47,263,140023.83,In Stock
P00014,Orbit Grocery Select 014,Grocery,278.18,44,223,62034.14,In Stock
P00015,Solace Books Classic 015,Books,386.94,59,121,46819.74,In Stock
P00016,Pioneer Accessories Plus 016,Accessories,590.06,44,28,16521.68,Low Stock
P00017,Northstar Electronics Pro 017,Electronics,4407.59,67,155,683176.45,In Stock
P00018,Aster & Co. Fashion Essential 018,Fashion,637.68,46,261,166434.48,In Stock
P00019,Mosaic Beauty Studio 019,Beauty,2355.34,30,166,390986.44,In Stock
P00020,Luma Home & Kitchen Everyday 020,Home & Kitchen,3222.93,36,42,135363.06,In Stock
P00021,Cedar Lane Sports Max 021,Sports,971.83,71,105,102042.15,In Stock
P00022,Orbit Grocery Select 022,Grocery,319.15,68,382,121915.3,Overstocked
P00023,Solace Books Classic 023,Books,72.41,21,258,18681.78,In Stock
P00024,Pioneer Accessories Plus 024,Accessories,476.4,55,228,108619.2,In Stock
P00025,Northstar Electronics Pro 025,Electronics,11822.38,33,219,2589101.22,In Stock
P00026,Aster & Co. Fashion Essential 026,Fashion,484.63,70,278,134727.14,In Stock
P00027,Mosaic Beauty Studio 027,Beauty,895.5,62,129,115519.5,In Stock
P00028,Luma Home & Kitchen Everyday 028,Home & Kitchen,439.17,70,179,78611.43,In Stock
P00029,Cedar Lane Sports Max 029,Sports,321.73,23,399,128370.27,Overstocked
P00030,Orbit Grocery Select 030,Grocery,50.2,60,170,8534.0,In Stock
P00031,Solace Books Classic 031,Books,425.39,51,417,177387.63,Overstocked
P00032,Pioneer Accessories Plus 032,Accessories,961.73,35,98,94249.54,In Stock
P00033,Northstar Electronics Pro 033,Electronics,1030.04,40,80,82403.2,In Stock
P00034,Aster & Co. Fashion Essential 034,Fashion,1278.1,28,419,535523.9,Overstocked
P00035,Mosaic Beauty Studio 035,Beauty,313.53,19,80,25082.4,In Stock
P00036,Luma Home & Kitchen Everyday 036,Home & Kitchen,3024.45,22,15,45366.75,Low Stock
P00037,Cedar Lane Sports Max 037,Sports,1760.63,46,415,730661.45,Overstocked
P00038,Orbit Grocery Select 038,Grocery,894.71,59,253,226361.63,In Stock
P00039,Solace Books Classic 039,Books,692.19,56,213,147436.47,In Stock
P00040,Pioneer Accessories Plus 040,Accessories,870.22,56,145,126181.9,In Stock
P00041,Northstar Electronics Pro 041,Electronics,5370.6,17,315,1691739.0,Overstocked
P00042,Aster & Co. Fashion Essential 042,Fashion,598.81,21,355,212577.55,Overstocked
