marketing_id,date,channel,spend,impressions,clicks,conversions
M000001,2022-08-27,Instagram,17767.04,258240,3473,238
M000002,2023-03-23,Meta Ads,38590.86,58892,13068,249
M000003,2022-06-01,Meta Ads,41547.41,16297,238,120
M000004,2026-08-22,Direct,7996.2,100400,9608,118
M000005,2024-09-22,Email,9120.58,82557,9441,171
M000006,2025-08-11,Google Ads,19109.85,196525,10640,65
M000007,2025-06-13,Direct,21913.25,183408,8367,233
M000008,2025-05-23,Email,20134.38,180917,6870,221
M000009,2026-05-27,Email,4763.41,24197,12307,175
M000010,2022-08-15,Email,27523.24,282401,11586,61
M000011,2023-08-22,Organic Search,34875.94,228399,9476,89
M000012,2022-04-03,Organic Search,33128.55,97884,1531,59
M000013,2022-04-14,Email,19519.81,143046,2955,216
M000014,2025-03-07,Referral,14606.53,131877,7816,148
M000015,2023-09-29,Meta Ads,26513.14,8412,13394,9
M000016,2026-01-07,Direct,31270.03,15660,9223,92
M000017,2022-12-07,Instagram,9577.67,128652,10735,79
M000018,2022-10-25,Direct,26363.84,223544,11915,56
M000019,2024-05-13,Instagram,2245.46,49775,9598,112
M000020,2026-05-15,Affiliate,34860.0,30961,10168,183
M000021,2026-02-09,Email,28820.13,98096,574,71
M000022,2023-03-01,Instagram,611.06,102273,3866,68
M000023,2023-03-18,Direct,24774.06,222701,12013,239
M000024,2023-01-09,Affiliate,2537.79,288380,12819,102
M000025,2023-12-09,Email,3273.41,200464,9333,108
M000026,2026-01-07,Email,41279.89,46279,8171,39
M000027,2025-12-10,Direct,39488.79,128472,9878,53
M000028,2023-02-11,Organic Search,29092.79,63954,682,68
M000029,2022-09-29,Organic Search,33728.83,39153,307,180
M000030,2023-07-21,Direct,13429.62,187512,8407,207
M000031,2023-10-16,Email,2583.15,3918,5636,218
M000032,2025-11-27,Referral,8588.72,68154,9215,182
M000033,2024-08-30,Email,41751.84,207896,9784,88
M000034,2023-07-13,Organic Search,12398.92,42885,1260,162
M000035,2026-08-03,Organic Search,27813.44,185367,7573,141
M000036,2022-10-29,Meta Ads,1763.35,149766,12094,113
M000037,2022-03-27,Affiliate,38836.28,203206,4596,143
M000038,2026-01-11,Email,7198.14,131490,5789,44
M000039,2024-01-15,Organic Search,30212.43,84542,11112,70
M000040,2025-08-29,Referral,3061.43,131970,2326,54
M000041,2023-07-28,Direct,2439.92,44322,7848,84
M000042,2022-12-31,Organic Search,34592.97,86348,9551,247
M000043,2024-12-22,Email,1733.99,291868,4055,83
M000044,2024-01-29,Google Ads,26846.82,218969,9978,169
M000045,2024-09-11,Email,4931.18,227543,8084,71
M000046,2025-08-11,Affiliate,19234.35,48803,10947,14
M000047,2023-07-04,Affiliate,40425.95,270394,6381,33
M000048,2025-02-10,Instagram,15643.47,296778,6940,143
M000049,2024-01-20,Organic Search,41818.13,206063,3820,83
M000050,2025-07-08,Direct,22594.4,284502,7205,81
M000051,2024-07-08,Organic Search,13218.91,176780,7074,128
M000052,2023-11-02,Email,15196.55,41592,3500,96
M000053,2023-05-19,Google Ads,15227.49,42807,13462,242
M000054,2023-12-31,Direct,1831.56,260226,11254,2
M000055,2022-05-12,Email,18578.54,74999,6344,216
M000056,2024-01-09,Google Ads,7768.77,144069,12301,48
M000057,2024-01-17,Organic Search,20727.64,196097,417,235
M000058,2024-04-02,Meta Ads,2168.53,212734,11022,45
M000059,2024-07-16,Instagram,29093.61,208052,7345,51
M000060,2023-11-05,Direct,33007.28,60549,6574,194
M000061,2022-07-04,Direct,8796.04,287470,8852,111
M000062,2024-04-23,Direct,20228.93,156236,10469,159
M000063,2025-06-24,Google Ads,40663.33,259027,5268,221
M000064,2025-06-02,Affiliate,28394.92,96976,9532,132
M000065,2024-06-15,Meta Ads,32761.57,76991,6786,36
M000066,2022-06-27,Google Ads,5393.53,273628,1972,141
M000067,2026-04-13,Direct,1170.45,11768,1437,13
M000068,2022-03-15,Referral,37397.87,80858,4663,68
M000069,2024-04-30,Direct,40358.71,280570,4458,251
M000070,2025-05-31,Direct,24497.36,160055,10324,203
M000071,2023-02-01,Email,2581.49,229993,5592,5
M000072,2023-11-13,Organic Search,7334.99,7477,9454,219
M000073,2022-08-01,Referral,38679.42,209252,13294,125
M000074,2022-03-01,Referral,22744.38,90401,331,192
M000075,2024-01-03,Instagram,6480.01,173622,12308,101
M000076,2022-09-09,Direct,30635.74,6251,10490,86
M000077,2022-11-22,Referral,1330.51,25809,10082,23
M000078,2022-06-30,Email,41055.97,96358,8817,222
M000079,2024-06-09,Google Ads,29997.79,34861,11938,179
M000080,2025-01-25,Email,38685.38,148120,12720,226
M000081,2023-11-15,Meta Ads,13156.83,131815,6542,237
M000082,2023-04-08,Referral,36459.93,189666,13751,139
M000083,2025-12-08,Instagram,36401.49,253348,10781,113
M000084,2024-04-29,Direct,36660.62,194290,13968,142
M000085,2026-01-14,Google Ads,30793.1,79638,11264,214
M000086,2025-06-17,Organic Search,5851.17,14210,5581,104
M000087,2026-01-09,Affiliate,27159.76,172984,11170,124
M000088,2024-06-19,Email,12699.13,65696,10847,29
