order_id,product_id,quantity,unit_price,discount,line_revenue,cost
O0000001,P00318,2,392.23,62.41,941.7,528.8
O0000001,P00592,1,291.8,23.21,350.29,152.15
O0000001,P00398,1,509.63,40.54,611.78,360.07
O0000002,P00346,2,477.73,152.16,803.3,535.64
O0000002,P00541,2,3356.24,1068.96,5643.52,5018.4
O0000002,P00411,1,1345.46,214.26,1131.2,1015.03
O0000002,P00118,3,261.1,124.74,658.56,381.6
O0000003,P00063,1,416.2,44.6,371.6,257.22
O0000004,P00083,1,669.83,109.74,747.64,387.77
O0000004,P00015,3,591.63,290.78,1981.08,1160.82
O0000005,P00139,1,860.21,126.59,733.62,614.76
O0000006,P00579,1,565.12,1.26,563.86,327.11
O0000007,P00170,2,436.0,190.91,681.09,548.34
O0000007,P00463,2,614.07,268.89,959.25,932.78
O0000008,P00398,3,509.63,193.7,1335.19,1080.21
O0000008,P00351,3,1141.94,434.02,2991.8,2019.84
O0000009,P00238,1,61.66,12.13,49.53,40.79
O0000009,P00514,1,1848.28,363.69,1484.59,1026.15
O0000010,P00103,2,195.0,55.87,334.13,272.06
O0000010,P00387,2,2023.97,579.91,3468.03,2754.98
O0000011,P00007,3,420.27,104.08,1156.73,839.31
O0000011,P00135,2,1534.16,253.29,2815.03,1752.08
O0000012,P00060,1,602.22,103.09,499.13,382.04
O0000013,P00453,1,609.43,69.21,540.22,418.83
O0000013,P00049,3,6678.16,2275.12,17759.36,12800.4
O0000014,P00318,2,392.23,110.78,893.33,528.8
O0000014,P00390,3,2151.74,911.61,7351.08,4465.44
O0000015,P00504,1,289.9,24.0,265.9,156.47
O0000016,P00426,3,1186.9,370.55,3190.15,2505.57
O0000017,P00294,1,1393.85,95.68,1688.45,984.32
O0000017,P00022,2,608.04,83.48,1473.1,638.3
O0000017,P00430,1,1484.16,101.88,1797.84,902.01
O0000017,P00390,2,2151.74,295.41,5213.04,2976.96
O0000018,P00448,1,466.32,64.39,532.5,301.9
O0000019,P00510,1,1436.91,225.1,1211.81,1080.4
O0000019,P00014,2,522.01,163.55,880.47,556.36
O0000020,P00110,3,151.67,51.79,403.22,336.93
O0000021,P00190,2,169.74,57.6,281.88,257.98
O0000021,P00522,1,1719.6,291.76,1427.84,1052.72
O0000022,P00226,2,4064.79,117.08,8012.5,4781.04
O0000023,P00004,3,12776.37,4869.53,33459.58,25222.23
O0000023,P00357,3,481.88,183.66,1261.98,1025.88
O0000023,P00091,2,235.53,59.85,411.21,337.1
O0000024,P00325,2,7728.9,3103.9,12353.9,8015.48
O0000024,P00162,2,7637.34,3067.13,12207.55,10395.38
O0000025,P00093,2,959.55,191.41,2265.04,1175.9
O0000026,P00541,1,3356.24,0.0,3356.24,2509.2
O0000027,P00118,1,261.1,41.18,219.92,127.2
O0000028,P00362,2,544.02,61.3,1026.74,646.8
O0000028,P00120,3,822.08,138.94,2327.3,1607.28
O0000029,P00306,1,1186.38,117.29,1069.09,572.48
O0000029,P00004,1,12776.37,1263.12,11513.25,8407.41
O0000029,P00415,3,145.86,43.26,394.32,278.22
