order_id,customer_id,order_date,payment_method,marketing_channel,order_status,subtotal,discount,shipping_revenue,revenue,cost,profit
O0000001,C005113,2025-11-15,UPI,Meta Ads,Completed,2029.94,126.16,99,2002.78,1041.02,961.76
O0000002,C002386,2022-06-24,PayPal,Email,Cancelled,9796.7,1560.12,0,8236.58,6950.67,1285.91
O0000003,C004536,2025-07-07,UPI,Meta Ads,Completed,416.2,44.6,99,470.6,257.22,213.38
O0000004,C003364,2024-11-28,Debit Card,Google Ads,Completed,3129.24,400.52,0,2728.72,1548.59,1180.13
O0000005,C003089,2024-03-17,UPI,Direct,Returned,860.21,126.59,99,832.62,614.76,217.86
O0000006,C005113,2022-09-25,Credit Card,Organic Search,Completed,565.12,1.26,99,662.86,327.11,335.75
O0000007,C003766,2023-02-27,Debit Card,Meta Ads,Completed,2100.14,459.8,99,1739.34,1481.12,258.22
O0000008,C004810,2022-05-10,Credit Card,Organic Search,Completed,4954.71,627.72,0,4326.99,3100.05,1226.94
O0000009,C003878,2024-02-01,UPI,Direct,Completed,1909.94,375.82,99,1633.12,1066.94,566.18
O0000010,C004084,2026-07-27,PayPal,Email,Completed,4437.94,635.78,0,3802.16,3027.04,775.12
O0000011,C002683,2025-04-14,UPI,Google Ads,Completed,4329.13,357.37,0,3971.76,2591.39,1380.37
O0000012,C004623,2022-02-18,UPI,Email,Completed,602.22,103.09,99,598.13,382.04,216.09
O0000013,C002744,2022-05-22,Credit Card,Google Ads,Completed,20643.91,2344.33,0,18299.58,13219.23,5080.35
O0000014,C001476,2024-10-17,Cash on Delivery,Email,Returned,9266.79,1022.39,0,8244.4,4994.24,3250.16
O0000015,C004951,2023-06-16,UPI,Google Ads,Completed,289.9,24.0,99,364.9,156.47,208.43
O0000016,C000529,2023-01-29,UPI,Instagram,Completed,3560.7,370.55,0,3190.15,2505.57,684.58
O0000017,C004908,2023-10-11,Credit Card,Instagram,Completed,10748.89,576.46,0,10172.43,5501.59,4670.84
O0000018,C002116,2023-12-29,Cash on Delivery,Referral,Processing,596.89,64.39,99,631.5,301.9,329.6
O0000019,C000443,2024-09-17,Debit Card,Organic Search,Completed,2480.93,388.65,99,2191.28,1636.76,554.52
O0000020,C004917,2025-04-16,Debit Card,Direct,Completed,455.01,51.79,99,502.22,336.93,165.29
O0000021,C004445,2024-01-15,Debit Card,Email,Completed,2059.08,349.36,99,1808.72,1310.7,498.02
O0000022,C003951,2024-03-19,Wallet,Referral,Completed,8129.58,117.08,0,8012.5,4781.04,3231.46
O0000023,C004866,2026-05-13,Credit Card,Instagram,Completed,40245.81,5113.03,0,35132.78,26585.21,8547.57
O0000024,C001224,2024-05-22,PayPal,Instagram,Completed,30732.48,6171.04,0,24561.44,18410.86,6150.58
O0000025,C004422,2025-10-12,UPI,Referral,Completed,2456.45,191.41,99,2364.04,1175.9,1188.14
O0000026,C002451,2023-09-01,Credit Card,Google Ads,Completed,3356.24,0.0,0,3356.24,2509.2,847.04
O0000027,C005170,2024-07-16,Wallet,Organic Search,Completed,261.1,41.18,99,318.92,127.2,191.72
O0000028,C004991,2025-04-22,Cash on Delivery,Direct,Completed,3554.28,200.24,0,3354.04,2254.08,1099.96
O0000029,C002579,2024-05-17,Credit Card,Direct,Completed,14400.33,1423.68,0,12976.65,9258.11,3718.54
O0000030,C000387,2023-11-15,UPI,Instagram,Completed,16812.93,2901.5,0,13911.43,8910.96,5000.47
O0000031,C002346,2023-09-29,Wallet,Google Ads,Completed,2228.77,126.68,99,2201.09,1425.45,775.64
O0000032,C002635,2022-06-28,Wallet,Referral,Returned,8860.35,1664.33,0,7196.02,6251.03,944.99
O0000033,C002042,2025-07-28,Credit Card,Meta Ads,Completed,584.14,28.47,99,654.67,382.96,271.71
O0000034,C002307,2023-01-16,UPI,Google Ads,Completed,408.3,42.44,99,464.86,256.06,208.8
O0000035,C002633,2024-12-31,Credit Card,Google Ads,Completed,113183.19,10876.06,0,102307.13,47702.22,54604.91
O0000036,C000343,2024-05-03,PayPal,Meta Ads,Completed,915.92,120.25,99,894.67,508.16,386.51
O0000037,C002453,2025-09-09,Cash on Delivery,Direct,Completed,317.69,68.73,99,347.96,157.75,190.21
O0000038,C000830,2023-04-08,Credit Card,Email,Completed,17621.04,1673.25,0,15947.79,11893.4,4054.39
O0000039,C000082,2024-12-12,Credit Card,Affiliate,Completed,708.56,192.6,99,614.96,367.74,247.22
O0000040,C000146,2024-01-29,UPI,Direct,Completed,2142.15,204.92,99,2036.23,1535.04,501.19
O0000041,C002562,2024-02-28,Cash on Delivery,Direct,Completed,1919.1,107.79,99,1910.31,1175.9,734.41
O0000042,C001628,2026-01-15,PayPal,Organic Search,Completed,467.9,19.85,99,547.05,342.58,204.47
O0000043,C001286,2024-10-18,Credit Card,Instagram,Completed,1876.3,267.41,99,1707.89,1046.84,661.05
O0000044,C002238,2026-02-17,UPI,Organic Search,Processing,3425.82,499.16,0,2926.66,2019.84,906.82
O0000045,C001394,2023-11-19,Credit Card,Email,Completed,3112.97,522.56,0,2590.42,1354.87,1235.55
O0000046,C003795,2023-09-04,Debit Card,Organic Search,Completed,16254.57,2514.31,0,13740.26,8452.59,5287.67
O0000047,C004985,2025-04-18,Debit Card,Google Ads,Completed,3980.51,667.66,0,3312.85,2029.91,1282.94
O0000048,C000036,2023-03-02,Wallet,Affiliate,Completed,2192.73,166.7,99,2125.03,1423.13,701.9
O0000049,C001530,2022-02-17,Credit Card,Direct,Completed,22602.76,2219.17,0,20383.59,11295.44,9088.15
O0000050,C002605,2023-03-28,UPI,Meta Ads,Completed,10415.74,1063.97,0,9351.77,7365.77,1986.0
O0000051,C002701,2023-11-26,Credit Card,Referral,Completed,2497.51,512.33,99,2084.18,962.52,1121.66
O0000052,C000853,2025-01-13,Debit Card,Organic Search,Completed,606.95,20.67,99,685.28,297.8,387.48
