product_id,product_name,category,brand,selling_price,cost_price,rating,reorder_level
P00001,Northstar Electronics Pro 001,Electronics,Northstar,3624.74,2389.34,3.3,19
P00002,Aster & Co. Fashion Essential 002,Fashion,Aster & Co.,1129.53,792.19,4.1,37
P00003,Mosaic Beauty Studio 003,Beauty,Mosaic,314.69,208.57,4.1,24
P00004,Luma Home & Kitchen Everyday 004,Home & Kitchen,Luma,12776.37,8407.41,4.2,73
P00005,Cedar Lane Sports Max 005,Sports,Cedar Lane,2006.45,1427.09,4.0,42
P00006,Orbit Grocery Select 006,Grocery,Orbit,169.16,91.92,4.0,35
P00007,Solace Books Classic 007,Books,Solace,420.27,279.77,4.1,42
P00008,Pioneer Accessories Plus 008,Accessories,Pioneer,594.06,317.65,4.8,41
P00009,Northstar Electronics Pro 009,Electronics,Northstar,9882.27,5573.58,3.7,71
P00010,Aster & Co. Fashion Essential 010,Fashion,Aster & Co.,4868.04,3163.64,4.6,67
P00011,Mosaic Beauty Studio 011,Beauty,Mosaic,3552.22,2265.41,4.5,40
P00012,Luma Home & Kitchen Everyday 012,Home & Kitchen,Luma,979.63,661.13,4.6,69
P00013,Cedar Lane Sports Max 013,Sports,Cedar Lane,787.31,532.41,3.8,47
P00014,Orbit Grocery Select 014,Grocery,Orbit,522.01,278.18,5.0,44
P00015,Solace Books Classic 015,Books,Solace,591.63,386.94,5.0,59
P00016,Pioneer Accessories Plus 016,Accessories,Pioneer,881.76,590.06,4.6,44
P00017,Northstar Electronics Pro 017,Electronics,Northstar,9172.84,4407.59,4.1,67
P00018,Aster & Co. Fashion Essential 018,Fashion,Aster & Co.,1028.54,637.68,4.9,46
P00019,Mosaic Beauty Studio 019,Beauty,Mosaic,3110.9,2355.34,3.7,30
P00020,Luma Home & Kitchen Everyday 020,Home & Kitchen,Luma,5674.3,3222.93,4.8,36
P00021,Cedar Lane Sports Max 021,Sports,Cedar Lane,1394.74,971.83,3.7,71
P00022,Orbit Grocery Select 022,Grocery,Orbit,608.04,319.15,5.0,68
P00023,Solace Books Classic 023,Books,Solace,128.54,72.41,4.4,21
P00024,Pioneer Accessories Plus 024,Accessories,Pioneer,941.49,476.4,4.1,55
P00025,Northstar Electronics Pro 025,Electronics,Northstar,19141.98,11822.38,4.2,33
P00026,Aster & Co. Fashion Essential 026,Fashion,Aster & Co.,651.57,484.63,3.9,70
P00027,Mosaic Beauty Studio 027,Beauty,Mosaic,1347.24,895.5,4.5,62
P00028,Luma Home & Kitchen Everyday 028,Home & Kitchen,Luma,677.93,439.17,3.6,70
P00029,Cedar Lane Sports Max 029,Sports,Cedar Lane,493.19,321.73,4.0,23
P00030,Orbit Grocery Select 030,Grocery,Orbit,77.24,50.2,3.3,60
P00031,Solace Books Classic 031,Books,Solace,746.34,425.39,4.0,51
P00032,Pioneer Accessories Plus 032,Accessories,Pioneer,1864.05,961.73,4.4,35
P00033,Northstar Electronics Pro 033,Electronics,Northstar,2045.79,1030.04,3.8,40
P00034,Aster & Co. Fashion Essential 034,Fashion,Aster & Co.,1922.88,1278.1,4.2,28
P00035,Mosaic Beauty Studio 035,Beauty,Mosaic,550.79,313.53,4.5,19
P00036,Luma Home & Kitchen Everyday 036,Home & Kitchen,Luma,4262.77,3024.45,4.0,22
P00037,Cedar Lane Sports Max 037,Sports,Cedar Lane,2352.6,1760.63,4.5,46
P00038,Orbit Grocery Select 038,Grocery,Orbit,1655.58,894.71,4.1,59
P00039,Solace Books Classic 039,Books,Solace,966.99,692.19,3.7,56
P00040,Pioneer Accessories Plus 040,Accessories,Pioneer,1463.48,870.22,5.0,56
P00041,Northstar Electronics Pro 041,Electronics,Northstar,7162.94,5370.6,3.8,17
P00042,Aster & Co. Fashion Essential 042,Fashion,Aster & Co.,1178.13,598.81,4.2,21
P00043,Mosaic Beauty Studio 043,Beauty,Mosaic,3207.95,1826.15,4.9,31
P00044,Luma Home & Kitchen Everyday 044,Home & Kitchen,Luma,4351.12,2244.06,4.3,29
P00045,Cedar Lane Sports Max 045,Sports,Cedar Lane,1427.93,758.84,4.2,66
P00046,Orbit Grocery Select 046,Grocery,Orbit,307.51,168.32,4.0,48
P00047,Solace Books Classic 047,Books,Solace,347.24,170.86,4.5,49
P00048,Pioneer Accessories Plus 048,Accessories,Pioneer,236.2,144.18,3.8,16
P00049,Northstar Electronics Pro 049,Electronics,Northstar,6678.16,4266.8,4.6,16
P00050,Aster & Co. Fashion Essential 050,Fashion,Aster & Co.,446.69,321.14,4.4,71
P00051,Mosaic Beauty Studio 051,Beauty,Mosaic,2318.96,1305.52,4.8,25
P00052,Luma Home & Kitchen Everyday 052,Home & Kitchen,Luma,9499.41,7165.36,4.0,58
P00053,Cedar Lane Sports Max 053,Sports,Cedar Lane,3045.85,2092.48,4.7,28
P00054,Orbit Grocery Select 054,Grocery,Orbit,199.04,104.54,4.5,54
P00055,Solace Books Classic 055,Books,Solace,459.89,295.06,4.1,16
P00056,Pioneer Accessories Plus 056,Accessories,Pioneer,4546.34,2408.72,4.0,44
P00057,Northstar Electronics Pro 057,Electronics,Northstar,7252.41,5053.67,4.3,16
P00058,Aster & Co. Fashion Essential 058,Fashion,Aster & Co.,4086.4,2844.26,4.3,27
P00059,Mosaic Beauty Studio 059,Beauty,Mosaic,230.4,124.28,4.4,27
P00060,Luma Home & Kitchen Everyday 060,Home & Kitchen,Luma,602.22,382.04,4.3,67
P00061,Cedar Lane Sports Max 061,Sports,Cedar Lane,1393.27,676.94,4.3,36
P00062,Orbit Grocery Select 062,Grocery,Orbit,1849.05,1191.96,4.0,31
P00063,Solace Books Classic 063,Books,Solace,416.2,257.22,4.2,70
P00064,Pioneer Accessories Plus 064,Accessories,Pioneer,733.13,415.7,3.7,46
P00065,Northstar Electronics Pro 065,Electronics,Northstar,81880.75,51980.88,4.2,53
P00066,Aster & Co. Fashion Essential 066,Fashion,Aster & Co.,684.29,494.15,3.5,15
P00067,Mosaic Beauty Studio 067,Beauty,Mosaic,836.07,487.65,3.9,59
P00068,Luma Home & Kitchen Everyday 068,Home & Kitchen,Luma,1194.63,719.01,4.1,55
P00069,Cedar Lane Sports Max 069,Sports,Cedar Lane,9839.28,7460.38,3.7,47
P00070,Orbit Grocery Select 070,Grocery,Orbit,65.84,40.72,4.9,23
P00071,Solace Books Classic 071,Books,Solace,169.0,92.23,3.7,16
P00072,Pioneer Accessories Plus 072,Accessories,Pioneer,227.17,167.3,5.0,24
P00073,Northstar Electronics Pro 073,Electronics,Northstar,32534.31,18847.95,4.5,42
P00074,Aster & Co. Fashion Essential 074,Fashion,Aster & Co.,2211.57,1672.64,4.2,73
P00075,Mosaic Beauty Studio 075,Beauty,Mosaic,719.16,503.36,4.4,63
P00076,Luma Home & Kitchen Everyday 076,Home & Kitchen,Luma,2261.28,1095.84,4.2,27
P00077,Cedar Lane Sports Max 077,Sports,Cedar Lane,2218.97,1093.8,4.6,45
P00078,Orbit Grocery Select 078,Grocery,Orbit,938.49,563.82,3.5,74
P00079,Solace Books Classic 079,Books,Solace,123.63,63.1,3.4,70
P00080,Pioneer Accessories Plus 080,Accessories,Pioneer,2590.87,1367.47,3.3,39
P00081,Northstar Electronics Pro 081,Electronics,Northstar,27557.69,20079.88,4.2,63
P00082,Aster & Co. Fashion Essential 082,Fashion,Aster & Co.,8998.39,5634.66,4.4,59
P00083,Mosaic Beauty Studio 083,Beauty,Mosaic,669.83,387.77,4.1,29
P00084,Luma Home & Kitchen Everyday 084,Home & Kitchen,Luma,6086.74,3768.7,4.9,40
P00085,Cedar Lane Sports Max 085,Sports,Cedar Lane,479.05,298.37,3.6,70
P00086,Orbit Grocery Select 086,Grocery,Orbit,209.85,101.27,4.2,59
P00087,Solace Books Classic 087,Books,Solace,304.49,194.45,4.3,69
P00088,Pioneer Accessories Plus 088,Accessories,Pioneer,181.42,96.38,4.6,42
P00089,Northstar Electronics Pro 089,Electronics,Northstar,13333.49,9704.55,5.0,26
P00090,Aster & Co. Fashion Essential 090,Fashion,Aster & Co.,1309.04,821.05,3.9,26
P00091,Mosaic Beauty Studio 091,Beauty,Mosaic,235.53,168.55,4.9,32
P00092,Luma Home & Kitchen Everyday 092,Home & Kitchen,Luma,5132.19,3207.73,3.4,37
P00093,Cedar Lane Sports Max 093,Sports,Cedar Lane,959.55,587.95,4.1,38
P00094,Orbit Grocery Select 094,Grocery,Orbit,190.65,138.58,4.3,63
P00095,Solace Books Classic 095,Books,Solace,873.36,593.21,4.2,65
P00096,Pioneer Accessories Plus 096,Accessories,Pioneer,866.54,649.03,4.1,64
P00097,Northstar Electronics Pro 097,Electronics,Northstar,60925.13,44739.7,4.0,22
P00098,Aster & Co. Fashion Essential 098,Fashion,Aster & Co.,4041.76,2538.44,3.9,53
P00099,Mosaic Beauty Studio 099,Beauty,Mosaic,339.49,178.24,4.4,61
P00100,Luma Home & Kitchen Everyday 100,Home & Kitchen,Luma,5629.16,2823.47,4.0,23
P00101,Cedar Lane Sports Max 101,Sports,Cedar Lane,327.78,217.94,3.9,35
P00102,Orbit Grocery Select 102,Grocery,Orbit,174.64,109.05,4.4,43
P00103,Solace Books Classic 103,Books,Solace,195.0,136.03,4.1,38
P00104,Pioneer Accessories Plus 104,Accessories,Pioneer,629.83,456.3,4.7,71
