return_id,order_id,customer_id,return_date,return_reason,refund_amount
R000001,O0009366,C003131,2023-02-28,Wrong Product,15171.08
R000002,O0009001,C001686,2025-01-18,Late Delivery,1373.03
R000003,O0025905,C002245,2024-11-20,Size Issue,13366.23
R000004,O0000106,C005090,2025-01-29,Quality Issue,10395.34
R000005,O0010429,C000430,2026-06-04,Late Delivery,1308.1
R000006,O0010857,C001781,2023-06-22,Size Issue,523.67
R000007,O0008663,C001464,2024-01-17,Damaged Product,4399.85
R000008,O0002162,C004860,2022-07-02,Quality Issue,436.42
R000009,O0007637,C001880,2025-05-31,Wrong Product,49666.51
R000010,O0023779,C002843,2022-05-19,Damaged Product,4076.36
R000011,O0008119,C002136,2023-07-06,Size Issue,401.06
R000012,O0014963,C002819,2023-06-06,Size Issue,716.42
R000013,O0002471,C000569,2022-01-19,Wrong Product,453.04
R000014,O0009262,C003557,2023-05-20,Late Delivery,472.17
R000015,O0025749,C002689,2022-06-25,Damaged Product,11146.61
R000016,O0011418,C000276,2024-07-03,Customer Changed Mind,82207.07
R000017,O0008695,C004899,2024-01-15,Size Issue,435.8
R000018,O0018712,C004101,2022-06-01,Late Delivery,45186.61
R000019,O0009981,C001269,2024-03-25,Damaged Product,36198.13
R000020,O0025561,C000112,2023-10-08,Late Delivery,963.86
R000021,O0000097,C003254,2026-09-21,Late Delivery,1051.32
R000022,O0014493,C004655,2023-12-14,Size Issue,123787.51
R000023,O0007271,C004559,2025-05-08,Late Delivery,2872.4
R000024,O0010345,C004708,2023-04-25,Size Issue,7600.13
R000025,O0011472,C003741,2022-04-13,Quality Issue,2369.61
R000026,O0003198,C001982,2024-01-31,Damaged Product,157047.01
R000027,O0021988,C003967,2023-05-30,Late Delivery,3748.31
R000028,O0020026,C002507,2023-12-31,Customer Changed Mind,20133.83
R000029,O0023581,C004001,2022-11-18,Wrong Product,5771.46
R000030,O0017175,C000465,2022-05-10,Damaged Product,364.09
