customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
C00001,182,3,122319.47,1,2,3,6,Potential Loyalists
C00002,45,7,26062.47,3,3,2,8,Loyal Customers
C00003,210,4,29481.76,1,2,2,5,At Risk
C00004,58,8,31475.989999999998,3,3,2,8,Loyal Customers
C00005,7,8,61492.89,4,3,3,10,Champions
C00006,42,2,8394.65,3,1,1,5,At Risk
C00007,344,1,9527.13,1,1,1,3,Lost / Inactive
C00008,40,13,165474.68,3,4,4,11,Champions
C00010,15,11,164847.77,4,4,4,12,Champions
C00011,116,6,29079.050000000003,2,3,2,7,Potential Loyalists
C00012,22,22,254143.69,4,4,4,12,Champions
C00013,55,5,12772.48,3,3,2,8,Loyal Customers
C00014,13,3,24556.309999999998,4,2,2,8,Loyal Customers
C00015,113,13,233552.83000000002,2,4,4,10,Champions
C00016,56,12,97157.23999999999,3,4,3,10,Champions
C00017,3,10,87024.40000000001,4,4,3,11,Champions
C00018,175,1,154806.84,1,1,4,6,Potential Loyalists
C00019,187,3,22779.6,1,2,2,5,At Risk
C00020,55,8,60920.380000000005,3,3,3,9,Loyal Customers
C00021,70,3,8503.24,2,2,1,5,At Risk
C00023,369,3,24964.42,1,2,2,5,At Risk
C00024,13,4,12131.6,4,2,2,8,Loyal Customers
C00025,9,5,38483.47,4,3,3,10,Champions
C00026,307,1,12337.4,1,1,2,4,At Risk
C00027,64,2,2010.8899999999999,3,1,1,5,At Risk
C00028,76,9,85324.33,2,4,3,9,Loyal Customers
C00029,36,5,76772.06,3,3,3,9,Loyal Customers
C00030,81,3,31207.9,2,2,2,6,Potential Loyalists
C00031,39,3,6340.83,3,2,1,6,Potential Loyalists
C00032,9,4,103941.48000000001,4,2,3,9,Loyal Customers
C00033,10,8,24352.5,4,3,2,9,Loyal Customers
C00034,3,4,41245.67,4,2,3,9,Loyal Customers
C00035,35,4,42946.189999999995,3,2,3,8,Loyal Customers
C00036,235,3,25613.92,1,2,2,5,At Risk
C00037,49,9,241376.55000000002,3,4,4,11,Champions
C00038,164,2,13820.68,2,1,2,5,At Risk
C00039,75,2,4761.1,2,1,1,4,At Risk
C00040,110,1,25106.45,2,1,2,5,At Risk
C00043,85,3,15834.44,2,2,2,6,Potential Loyalists
C00044,216,1,15421.75,1,1,2,4,At Risk
C00045,341,1,27685.1,1,1,2,4,At Risk
C00046,57,1,1872.92,3,1,1,5,At Risk
C00047,44,1,3175.71,3,1,1,5,At Risk
C00048,85,3,316909.79,2,2,4,8,Loyal Customers
C00050,304,1,3098.49,1,1,1,3,Lost / Inactive
C00051,2,7,121251.62,4,3,3,10,Champions
C00052,209,3,25010.77,1,2,2,5,At Risk
C00053,88,4,14971.03,2,2,2,6,Potential Loyalists
C00055,100,5,112791.47000000002,2,3,3,8,Loyal Customers
C00057,312,1,882.78,1,1,1,3,Lost / Inactive
C00058,15,9,145660.66,4,4,4,12,Champions
C00059,34,25,185606.91,3,4,4,11,Champions
C00060,7,1,2206.95,4,1,1,6,Potential Loyalists
C00062,30,17,328050.79,3,4,4,11,Champions
C00063,136,2,5664.01,2,1,1,4,At Risk
C00064,8,12,224721.79,4,4,4,12,Champions
C00066,11,1,5379.1,4,1,1,6,Potential Loyalists
C00067,79,4,156666.24000000002,2,2,4,8,Loyal Customers
C00068,20,30,187441.29,4,4,4,12,Champions
C00069,21,13,60847.67,4,4,3,11,Champions
C00070,226,1,9253.05,1,1,1,3,Lost / Inactive
C00071,19,5,26226.37,4,3,2,9,Loyal Customers
C00072,16,8,132874.07,4,3,3,10,Champions
C00073,106,6,90707.06999999999,2,3,3,8,Loyal Customers
C00074,5,13,356944.5,4,4,4,12,Champions
C00076,141,2,28172.19,2,1,2,5,At Risk
C00077,8,27,283120.33,4,4,4,12,Champions
C00078,13,31,344664.32,4,4,4,12,Champions
C00079,237,3,12762.300000000001,1,2,2,5,At Risk
C00080,371,2,5128.78,1,1,1,3,Lost / Inactive
C00081,2,71,1243747.96,4,4,4,12,Champions
C00082,143,4,16824.66,2,2,2,6,Potential Loyalists
C00083,86,3,5011.95,2,2,1,5,At Risk
C00084,95,1,73330.46,2,1,3,6,Potential Loyalists
C00085,6,16,324883.42,4,4,4,12,Champions
C00086,55,3,256181.57,3,2,4,9,Loyal Customers
C00087,170,1,31335.66,1,1,2,4,At Risk
C00089,49,16,415075.36,3,4,4,11,Champions
C00090,39,9,17200.76,3,4,2,9,Loyal Customers
C00091,25,8,127972.09,3,3,3,9,Loyal Customers
C00092,12,5,203676.48,4,3,4,11,Champions
C00093,37,16,337818.43,3,4,4,11,Champions
C00094,66,8,25304.78,2,3,2,7,Potential Loyalists
C00095,91,7,22114.92,2,3,2,7,Potential Loyalists
C00096,8,36,416751.22000000003,4,4,4,12,Champions
C00097,371,1,936.62,1,1,1,3,Lost / Inactive
C00098,127,2,9553.87,2,1,1,4,At Risk
C00099,16,23,179647.63,4,4,4,12,Champions
C00100,76,7,91972.09,2,3,3,8,Loyal Customers
C00101,180,3,36036.37,1,2,2,5,At Risk
C00102,248,1,1853.28,1,1,1,3,Lost / Inactive
C00103,11,7,75533.28,4,3,3,10,Champions
C00104,16,4,29688.35,4,2,2,8,Loyal Customers
C00105,70,1,6168.7,2,1,1,4,At Risk
C00106,45,9,346087.31,3,4,4,11,Champions
C00107,124,3,19916.36,2,2,2,6,Potential Loyalists
C00108,73,1,969.56,2,1,1,4,At Risk
C00109,122,4,13803.68,2,2,2,6,Potential Loyalists
C00110,99,4,72531.29999999999,2,2,3,7,Potential Loyalists
C00111,318,1,1128.32,1,1,1,3,Lost / Inactive
C00112,90,3,14653.57,2,2,2,6,Potential Loyalists
C00114,31,1,208.55,3,1,1,5,At Risk
C00115,56,1,46821.2,3,1,3,7,Potential Loyalists
C00116,242,5,13387.06,1,3,2,6,Potential Loyalists
C00117,296,1,2218.48,1,1,1,3,Lost / Inactive
C00118,207,3,55252.8,1,2,3,6,Potential Loyalists
C00119,21,17,334165.17,4,4,4,12,Champions
C00120,183,3,14470.77,1,2,2,5,At Risk
C00121,85,5,12181.26,2,3,2,7,Potential Loyalists
C00122,126,2,433423.06,2,1,4,7,Potential Loyalists
C00123,44,8,97350.15999999999,3,3,3,9,Loyal Customers
C00124,20,8,96964.74,4,3,3,10,Champions
C00125,213,1,6692.32,1,1,1,3,Lost / Inactive
C00126,303,1,5246.4,1,1,1,3,Lost / Inactive
C00127,61,3,11393.380000000001,3,2,2,7,Potential Loyalists
C00128,185,6,160652.77000000002,1,3,4,8,Loyal Customers
C00129,83,3,33725.82,2,2,2,6,Potential Loyalists
C00130,2,14,97339.66,4,4,3,11,Champions
C00132,21,2,25194.42,4,1,2,7,Potential Loyalists
C00133,42,8,114753.99,3,3,3,9,Loyal Customers
C00134,150,11,49440.44,2,4,3,9,Loyal Customers
C00135,1,3,34735.240000000005,4,2,2,8,Loyal Customers
C00136,85,9,245892.16999999998,2,4,4,10,Champions
C00138,104,4,22592.449999999997,2,2,2,6,Potential Loyalists
C00139,52,7,90996.28,3,3,3,9,Loyal Customers
C00140,98,15,77883.12,2,4,3,9,Loyal Customers
C00141,76,4,18486.13,2,2,2,6,Potential Loyalists
C00142,97,4,25019.559999999998,2,2,2,6,Potential Loyalists
C00143,157,6,73372.84,2,3,3,8,Loyal Customers
C00144,276,1,910.47,1,1,1,3,Lost / Inactive
C00145,3,7,41372.94,4,3,3,10,Champions
C00146,29,3,49524.100000000006,3,2,3,8,Loyal Customers
C00147,241,2,15210.09,1,1,2,4,At Risk
C00148,14,16,253158.75,4,4,4,12,Champions
C00149,426,2,9328.34,1,1,1,3,Lost / Inactive
C00150,21,67,766964.97,4,4,4,12,Champions
C00151,16,8,38592.81,4,3,3,10,Champions
C00152,17,3,11033.689999999999,4,2,2,8,Loyal Customers
C00153,68,3,184030.57,2,2,4,8,Loyal Customers
C00154,6,12,235109.1,4,4,4,12,Champions
C00155,5,9,208736.33,4,4,4,12,Champions
